BLZ	Bankname
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank
13061078	Volks- und Raiffeisenbank (Gf P2)
13061088	Raiffeisenbank Wismar -alt-
13061128	Raiffeisenbank
13061128	Raiffeisenbank (Gf P2)
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070000	Deutsche Bank
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13070024	Deutsche Bank Privat und Geschäftskunden
13080000	Commerzbank vormals Dresdner Bank
13090000	Rostocker Volks- und Raiffeisenbank
13090000	Rostocker Volks- und Raiffeisenbank (Gf P2)
13091054	Pommersche Volksbank
13091054	Pommersche Volksbank (Gf P2)
13091084	Volksbank Wismar -alt-
14000000	Bundesbank eh Schwerin
14040000	Commerzbank
14040000	Commerzbank
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051000	Sparkasse Mecklenburg-Nordwest
14051362	Sparkasse Parchim-Lübz
14051362	Sparkasse Parchim-Lübz
14051462	Sparkasse Schwerin -alt-
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14052000	Sparkasse Mecklenburg-Schwerin
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank
14061308	Volks- und Raiffeisenbank (Gf P2)
14061438	Raiffeisen-Volksbank -alt-
14080000	Commerzbank vormals Dresdner Bank
14080000	Commerzbank vormals Dresdner Bank
14080000	Commerzbank vormals Dresdner Bank
14080011	Commerzbank vormals Dresdner Bank Zw W
14091464	VR-Bank
14091464	VR-Bank
14091464	VR-Bank (Gf P2)
14091464	VR-Bank Schwerin
15000000	Bundesbank
15040068	Commerzbank
15040068	Commerzbank
15040068	Commerzbank
15040068	Commerzbank
15040068	Commerzbank
15040068	Commerzbank
15050100	Müritz-Sparkasse
15050100	Müritz-Sparkasse Fil
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050200	Sparkasse Neubrandenburg-Demmin
15050400	Sparkasse Uecker-Randow
15050400	Sparkasse Uecker-Randow
15050400	Sparkasse Uecker-Randow Gs
15050400	Sparkasse Uecker-Randow Gs
15050400	Sparkasse Uecker-Randow Gs
15050400	Sparkasse Uecker-Randow Gs
15050400	Sparkasse Uecker-Randow Gs
15050400	Sparkasse Uecker-Randow Gs
15050400	Sparkasse Uecker-Randow Gs
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15050500	Sparkasse Vorpommern
15051732	Sparkasse Mecklenburg-Strelitz
15051732	Sparkasse Mecklenburg-Strelitz
15051732	Sparkasse Mecklenburg-Strelitz
15051732	Sparkasse Mecklenburg-Strelitz
15051732	Sparkasse Mecklenburg-Strelitz Gs
15051732	Sparkasse Mecklenburg-Strelitz Gs
15051732	Sparkasse Mecklenburg-Strelitz Gs
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte
15061618	Raiffeisenbank Mecklenburger Seenplatte (Gf P2)
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank
15061638	Volksbank Raiffeisenbank (Gf P2)
15061658	Raiffeisenbank Pasewalk-Strasburg -alt-
15061658	Raiffeisenbank Pasewalk-Strasburg
15061658	Raiffeisenbank Pasewalk-Strasburg
15061658	Raiffeisenbank Pasewalk-Strasburg
15061658	Raiffeisenbank Pasewalk-Strasburg
15061658	Raiffeisenbank Pasewalk-Strasburg
15061658	Raiffeisenbank Pasewalk-Strasburg
15061658	Raiffeisenbank Pasewalk-Strasburg (Gf P2)
15061698	Raiffeisenbank Malchin
15061698	Raiffeisenbank Malchin
15061698	Raiffeisenbank Malchin
15061698	Raiffeisenbank Malchin
15061698	Raiffeisenbank Malchin
15061698	Raiffeisenbank Malchin
15061698	Raiffeisenbank Malchin (Gf P2)
15061758	Neubrandenburger Bank -alt-
15080000	Commerzbank vormals Dresdner Bank
15080000	Commerzbank vormals Dresdner Bank
15080000	Commerzbank vormals Dresdner Bank
15080000	Commerzbank vormals Dresdner Bank
15080000	Commerzbank vormals Dresdner Bank
15091674	Volksbank Demmin
15091674	Volksbank Demmin (Gf P2)
15091674	Volksbank Demmin Nst Anklam
15091704	VR-Bank Uckermark-Randow
15091704	VR-Bank Uckermark-Randow
15091704	VR-Bank Uckermark-Randow
15091704	VR-Bank Uckermark-Randow
15091704	VR-Bank Uckermark-Randow
15091704	VR-Bank Uckermark-Randow (Gf P2)
16000000	Bundesbank eh Potsdam
16010111	SEB
16010111	SEB
16010300	Investitionsbank des Landes Brandenburg
16020086	UniCredit Bank - HypoVereinsbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16040000	Commerzbank
16050000	Mittelbrandenburgische Sparkasse in Potsdam
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050101	Sparkasse Prignitz
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050202	Sparkasse Ostprignitz-Ruppin
16050500	LBS Ostdeutsche Landesbausparkasse
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz
16060122	Volks- und Raiffeisenbank Prignitz (Gf P2)
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin
16061938	Raiffeisenbank Ostprignitz-Ruppin (Gf P2)
16062008	VR-Bank Fläming
16062008	VR-Bank Fläming
16062008	VR-Bank Fläming
16062008	VR-Bank Fläming
16062008	VR-Bank Fläming
16062008	VR-Bank Fläming (Gf P2)
16062073	Brandenburger Bank
16062073	Brandenburger Bank
16062073	Brandenburger Bank
16062073	Brandenburger Bank
16062073	Brandenburger Bank
16062073	Brandenburger Bank (Gf P2)
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16080000	Commerzbank vormals Dresdner Bank
16091994	Volksbank Rathenow
16091994	Volksbank Rathenow (Gf P2)
17000000	Bundesbank eh Frankfurt (Oder)
17020086	UniCredit Bank - HypoVereinsbank
17040000	Commerzbank
17040000	Commerzbank
17040000	Commerzbank
17040000	Commerzbank
17040000	Commerzbank
17040000	Commerzbank
17052000	Sparkasse Barnim
17052000	Sparkasse Barnim
17052302	Stadtsparkasse Schwedt
17054040	Sparkasse Märkisch-Oderland
17055050	Sparkasse Oder-Spree
17055050	Sparkasse Oder-Spree
17055050	Sparkasse Oder-Spree
17055050	Sparkasse Oder-Spree
17056060	Sparkasse Uckermark
17056060	Sparkasse Uckermark
17056060	Sparkasse Uckermark
17056060	Sparkasse Uckermark Gs
17056060	Sparkasse Uckermark Gs
17056060	Sparkasse Uckermark Gs
17056060	Sparkasse Uckermark Gs
17056060	Sparkasse Uckermark Gs
17056060	Sparkasse Uckermark Gs
17056060	Sparkasse Uckermark Gs
17062428	Raiffeisenbank-Volksbank Oder-Spree
17062428	Raiffeisenbank-Volksbank Oder-Spree (Gf P2)
17080000	Commerzbank vormals Dresdner Bank
17080000	Commerzbank vormals Dresdner Bank
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen
17092404	VR Bank Fürstenwalde Seelow Wriezen (Gf P2)
18000000	Bundesbank
18020086	UniCredit Bank - HypoVereinsbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18040000	Commerzbank
18050000	Sparkasse Spree-Neiße
18050000	Sparkasse Spree-Neiße
18050000	Sparkasse Spree-Neiße
18050000	Sparkasse Spree-Neiße
18051000	Sparkasse Elbe-Elster
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18055000	Sparkasse Niederlausitz
18062678	VR Bank Lausitz
18062678	VR Bank Lausitz
